200 19909
1 3 2
1 7 5
1 11 4
1 13 2
1 14 4
1 15 5
1 16 4
1 20 2
1 25 5
1 26 1
1 27 4
1 29 2
1 30 2
1 35 1
1 38 6
1 40 2
1 42 2
1 47 2
1 52 5
1 54 5
1 56 6
1 59 2
1 61 5
1 62 3
1 63 1
1 64 5
1 65 3
1 66 1
1 68 3
1 73 5
1 74 3
1 75 2
1 76 6
1 78 5
1 80 4
1 81 4
1 82 5
1 83 5
1 87 6
1 88 5
1 90 2
1 91 2
1 92 5
1 97 5
1 99 1
1 102 4
1 103 6
1 104 4
1 105 3
1 106 2
1 107 4
1 108 6
1 111 5
1 112 4
1 113 3
1 119 6
1 121 5
1 122 2
1 123 1
1 124 1
1 126 3
1 127 5
1 128 4
1 130 2
1 131 6
1 133 6
1 136 4
1 138 5
1 140 3
1 141 3
1 142 2
1 143 4
1 149 2
1 151 5
1 152 4
1 153 5
1 156 3
1 158 5
1 160 2
1 162 2
1 165 5
1 167 2
1 168 3
1 169 1
1 170 6
1 172 1
1 173 6
1 174 2
1 175 4
1 180 5
1 181 2
1 183 6
1 184 3
1 187 4
1 188 6
1 191 1
1 193 4
1 195 2
1 196 6
1 197 6
1 198 1
1 199 3
1 200 6
2 4 3
2 5 5
2 6 2
2 7 4
2 9 1
2 11 4
2 18 3
2 20 4
2 26 2
2 28 6
2 34 1
2 35 2
2 36 5
2 37 1
2 38 6
2 39 4
2 41 2
2 43 1
2 46 5
2 47 4
2 48 4
2 50 3
2 52 5
2 53 4
2 57 1
2 58 6
2 59 5
2 61 6
2 62 4
2 69 4
2 70 2
2 71 5
2 73 1
2 76 5
2 78 6
2 79 1
2 80 6
2 81 2
2 83 6
2 85 3
2 87 1
2 88 2
2 90 4
2 93 6
2 100 2
2 101 4
2 103 2
2 106 2
2 107 3
2 109 5
2 111 4
2 112 6
2 118 1
2 120 5
2 121 1
2 124 1
2 125 6
2 126 4
2 127 4
2 129 3
2 133 2
2 135 1
2 136 5
2 137 4
2 138 2
2 139 4
2 140 2
2 141 2
2 143 2
2 146 2
2 149 5
2 152 6
2 156 3
2 161 6
2 162 6
2 163 3
2 164 4
2 165 5
2 166 5
2 169 5
2 175 2
2 177 2
2 182 3
2 183 1
2 185 5
2 189 1
2 190 1
2 191 5
2 193 3
2 195 1
2 196 5
2 198 6
2 200 2
3 2 4
3 3 5
3 6 1
3 8 4
3 9 6
3 11 2
3 12 5
3 15 1
3 16 6
3 22 2
3 24 3
3 26 6
3 27 6
3 33 3
3 34 4
3 36 6
3 37 2
3 40 4
3 41 4
3 43 1
3 47 4
3 48 3
3 54 1
3 55 3
3 56 2
3 57 5
